                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.56115,                 0.6137,                0.79906,                0.23475,                0.93402,                0.28037,                0.24257,                0.44464,                 763.45,                 0.7141,             0.00049959,             0.00049959,             0.00049959
                     94,                0.58597,                0.61034,                0.80117,                0.23024,                0.96846,                0.25569,                0.21929,                0.43687,                 476.54,                0.71379,             0.00049723,             0.00049723,             0.00049723
                     95,                0.56643,                0.61147,                0.80123,                0.23229,                0.96739,                0.26378,                0.22816,                0.43446,                 377.85,                0.71177,             0.00049487,             0.00049487,             0.00049487
                     96,                0.56242,                 0.5847,                0.80078,                0.23141,                0.96393,                0.26209,                0.22555,                0.43591,                 359.18,                0.71451,             0.00049252,             0.00049252,             0.00049252
                     97,                0.56533,                0.58798,                0.80106,                0.23794,                0.91491,                 0.2773,                0.24114,                0.43899,                 567.26,                0.71276,             0.00049016,             0.00049016,             0.00049016
                     98,                0.56346,                0.61241,                0.80187,                0.23303,                0.98237,                0.26732,                0.23122,                0.43202,                 439.57,                0.71001,              0.0004878,              0.0004878,              0.0004878
                     99,                0.56296,                0.58932,                0.79987,                0.23597,                0.96692,                0.27287,                0.23602,                0.43987,                 508.51,                0.71353,             0.00048545,             0.00048545,             0.00048545
                    100,                 0.5659,                0.56662,                0.80084,                0.23614,                  0.919,                0.28459,                0.24882,                 0.4364,                 471.61,                0.71253,             0.00048309,             0.00048309,             0.00048309
                    101,                0.56759,                0.58782,                0.80062,                0.23468,                0.94452,                0.28511,                0.24843,                0.43259,                 503.84,                0.71208,             0.00048074,             0.00048074,             0.00048074
                    102,                0.55934,                0.58742,                0.80018,                0.23209,                0.97421,                0.26448,                0.23032,                0.43479,                 651.51,                0.71355,             0.00047838,             0.00047838,             0.00047838
                    103,                0.55399,                 0.5832,                0.79875,                0.23264,                 0.9822,                 0.2799,                0.23982,                0.43506,                 428.93,                0.71401,             0.00047602,             0.00047602,             0.00047602
                    104,                0.55682,                0.57977,                0.79927,                0.23147,                0.94592,                0.29294,                0.25492,                0.44101,                 579.62,                0.71418,             0.00047367,             0.00047367,             0.00047367
                    105,                0.55782,                0.58224,                0.79944,                0.23466,                 0.9554,                0.28496,                  0.247,                0.45526,                 558.33,                0.71564,             0.00047131,             0.00047131,             0.00047131
                    106,                0.55957,                 0.5735,                0.79836,                0.23017,                 0.9708,                0.26555,                0.22867,                0.42632,                 417.01,                0.71213,             0.00046896,             0.00046896,             0.00046896
                    107,                0.55814,                0.58974,                0.80067,                0.23726,                0.90075,                0.28556,                0.24332,                0.45702,                 406.31,                0.71839,              0.0004666,              0.0004666,              0.0004666
                    108,                 0.5475,                0.57624,                0.79795,                0.23057,                0.96447,                0.27013,                 0.2327,                0.43562,                 456.88,                0.71431,             0.00046424,             0.00046424,             0.00046424
                    109,                0.55077,                0.57389,                0.79721,                0.23089,                0.96953,                0.26329,                0.22742,                0.42568,                 380.14,                0.71125,             0.00046189,             0.00046189,             0.00046189
                    110,                0.56402,                0.56582,                0.80042,                0.23195,                0.98176,                0.27492,                0.23613,                0.46757,                 441.86,                0.71695,             0.00045953,             0.00045953,             0.00045953
                    111,                0.56101,                0.59198,                0.79996,                 0.2311,                0.99328,                0.28163,                 0.2438,                0.43085,                 524.43,                0.71307,             0.00045717,             0.00045717,             0.00045717
                    112,                0.56608,                0.54776,                0.80099,                0.22827,                0.99025,                0.27987,                0.24352,                0.42179,                 579.81,                 0.7107,             0.00045482,             0.00045482,             0.00045482
                    113,                0.55684,                0.55625,                0.79917,                0.23294,                0.99205,                0.28539,                0.24911,                 0.4242,                 481.93,                0.71166,             0.00045246,             0.00045246,             0.00045246
                    114,                0.55189,                0.56148,                0.79867,                0.22924,                0.97211,                 0.2873,                0.25161,                0.42371,                 497.89,                 0.7122,             0.00045011,             0.00045011,             0.00045011
                    115,                0.55533,                0.55715,                0.80041,                0.23233,                0.98374,                0.27855,                 0.2404,                0.43893,                 406.13,                0.71191,             0.00044775,             0.00044775,             0.00044775
                    116,                0.55623,                0.55245,                0.79948,                0.22917,                0.98154,                0.27702,                0.23937,                0.43304,                 511.99,                0.71241,             0.00044539,             0.00044539,             0.00044539
                    117,                0.54671,                0.57715,                0.79946,                0.23471,                0.91645,                0.28574,                0.24938,                0.42252,                 533.12,                0.71137,             0.00044304,             0.00044304,             0.00044304
                    118,                0.55364,                 0.5691,                0.79915,                0.22822,                0.98089,                0.28253,                0.24614,                 0.4308,                 552.61,                0.71236,             0.00044068,             0.00044068,             0.00044068
                    119,                0.56285,                0.56736,                0.80187,                0.24024,                0.87359,                0.28531,                0.24849,                0.42047,                 551.75,                0.71176,             0.00043832,             0.00043832,             0.00043832
                    120,                0.55194,                0.55492,                0.79895,                0.23304,                0.98464,                0.29765,                0.25885,                0.42872,                 355.36,                0.71279,             0.00043597,             0.00043597,             0.00043597
                    121,                0.54697,                0.55159,                0.79738,                0.23083,                0.98094,                0.27683,                 0.2415,                 0.4266,                 499.62,                0.71221,             0.00043361,             0.00043361,             0.00043361
                    122,                0.55223,                0.54471,                0.79897,                0.23278,                0.98345,                0.27247,                 0.2362,                 0.4255,                 468.15,                0.71209,             0.00043126,             0.00043126,             0.00043126
                    123,                0.53712,                0.53143,                0.79658,                0.22771,                0.97819,                 0.2892,                0.25327,                 0.4254,                 395.32,                0.71128,              0.0004289,              0.0004289,              0.0004289
                    124,                0.54677,                0.55686,                0.80024,                0.24319,                0.90187,                0.28508,                0.24916,                0.42131,                 493.81,                0.71051,             0.00042654,             0.00042654,             0.00042654
                    125,                0.55684,                0.55164,                0.80132,                0.23241,                0.97185,                0.27784,                0.24062,                0.43673,                 562.77,                0.71415,             0.00042419,             0.00042419,             0.00042419
                    126,                0.54626,                0.56556,                0.79797,                0.23111,                0.98188,                0.28724,                 0.2512,                0.42814,                 417.47,                0.71305,             0.00042183,             0.00042183,             0.00042183
                    127,                0.53909,                0.59616,                0.79747,                0.23213,                0.98325,                0.27494,                0.23939,                0.42454,                 557.39,                0.71205,             0.00041947,             0.00041947,             0.00041947
                    128,                0.54171,                0.57742,                0.79617,                0.23209,                 0.9503,                0.26834,                0.23014,                0.43636,                 466.17,                0.71359,             0.00041712,             0.00041712,             0.00041712
                    129,                 0.5511,                0.52977,                0.79995,                0.23375,                0.98083,                0.28924,                0.25448,                0.41394,                 451.41,                0.71043,             0.00041476,             0.00041476,             0.00041476
                    130,                0.54224,                0.52003,                0.79882,                0.23435,                0.95736,                 0.2714,                0.23426,                0.42972,                 510.14,                0.71379,             0.00041241,             0.00041241,             0.00041241
                    131,                0.53602,                0.51312,                0.79666,                0.23448,                0.98281,                0.29361,                0.25475,                  0.427,                 549.95,                0.71329,             0.00041005,             0.00041005,             0.00041005
                    132,                0.55009,                0.59277,                0.79897,                0.23568,                0.93638,                0.27858,                0.24216,                0.43474,                 314.16,                0.71262,             0.00040769,             0.00040769,             0.00040769
                    133,                0.54261,                0.56391,                0.79766,                0.24239,                0.91817,                0.28745,                0.25026,                 0.4251,                 598.83,                0.71356,             0.00040534,             0.00040534,             0.00040534
                    134,                 0.5521,                 0.5502,                0.79886,                0.23737,                0.94454,                0.27653,                 0.2401,                0.42819,                 447.03,                0.71258,             0.00040298,             0.00040298,             0.00040298
